season,character_cast,episode
7,Yohn Royce,1
7,Lyanna Mormont,1
7,Maester Wolkan,1
7,Lady Kitty Frey,1
7,Lannister Soldier,1
7,Lannister Soldier,1
7,Lannister Soldier,1
7,Alys Karstark,1
7,Ned Umber,1
7,Poisoned Frey,1
7,Frey Lord,1
7,Sick Maester,1
7,Baby Sam,1
7,Baby Sam,1
7,Serving Girl,1
7,Night's Watch,1
7,Night's Watch,1
7,Night's Watch,1
7,Lannister Map Painter,1
7,Tyrion Lannister,2
7,Jaime Lannister,2
7,Cersei Lannister,2
7,Daenerys Targaryen,2
7,Jon Snow,2
7,Petyr Baelish,2
7,Davos Seaworth,2
7,Sansa Stark,2
7,Arya Stark,2
7,Melisandre,2
7,Missandei,2
7,Ellaria Sand,2
7,Theon Greyjoy,2
7,Samwell Tarly,2
7,Brienne of Tarth,2
7,Lord Varys,2
7,Jorah Mormont,2
7,Olenna Tyrell,2
7,Archmaester Ebrose,2
7,Euron Greyjoy,2
7,Yara Greyjoy,2
7,Qyburn,2
7,Grey Worm,2
7,Obara Sand,2
7,Tyene Sand,2
7,Nymeria Sand,2
7,Gregor Clegane,2
7,Hot Pie,2
7,Robett Glover,2
7,Randyll Tarly,2
7,Yohn Royce,2
7,Dickon Tarly,2
7,Lyanna Mormont,2
7,Maester Wolkan,2
7,Crossroads Inn Patron,2
7,Crossroads Inn Patron,2
7,Alys Karstark,2
7,Ned Umber,2
7,Ironborn,2
7,Silence Crew,2
7,Tyrion Lannister,3
7,Jaime Lannister,3
7,Cersei Lannister,3
7,Daenerys Targaryen,3
7,Jon Snow,3
7,Petyr Baelish,3
7,Davos Seaworth,3
7,Melisandre,3
7,Sansa Stark,3
7,Missandei,3
7,Ellaria Sand,3
7,Theon Greyjoy,3
7,Samwell Tarly,3
7,Bran Stark,3
7,Lord Varys,3
7,Bronn,3
7,Jorah Mormont,3
7,Olenna Tyrell,3
7,Archmaester Ebrose,3
7,Euron Greyjoy,3
7,Yara Greyjoy,3
7,Grey Worm,3
7,Qyburn,3
7,Tycho Nestoris,3
7,Tyene Sand,3
7,Meera Reed,3
7,Gregor Clegane,3
7,Yohn Royce,3
7,Randyll Tarly,3
7,Dickon Tarly,3
7,Harrag,3
7,Maester Wolkan,3
7,Bernadette,3
7,Stark Soldier,3
7,Qhono,3
7,Woman in king's landing,3
7,Silence Crew,3
7,Tyrion Lannister,4
7,Jaime Lannister,4
7,Cersei Lannister,4
7,Daenerys Targaryen,4
7,Jon Snow,4
7,Petyr Baelish,4
7,Davos Seaworth,4
7,Sansa Stark,4
7,Arya Stark,4
7,Missandei,4
7,Lord Varys,4
7,Bronn,4
7,Theon Greyjoy,4
7,Brienne of Tarth,4
7,Bran Stark,4
7,Randyll Tarly,4
7,Dickon Tarly,4
7,Meera Reed,4
7,Tycho Nestoris,4
7,Harrag,4
7,Podrick Payne,4
7,Stark Soldier,4
7,Koner,4
7,Qhono,4
7,Winterfell Local,4
7,Stark Soldier,4
7,Dothraki Rider,4
7,Dothraki Rider,4
7,Burning Lannister,4
7,Lannister Spearman,4
7,Burning Lannister,4
7,Tyrion Lannister,5
7,Jaime Lannister,5
7,Cersei Lannister,5
7,Daenerys Targaryen,5
7,Jon Snow,5
7,Petyr Baelish,5
7,Davos Seaworth,5
7,Sansa Stark,5
7,Arya Stark,5
7,Lord Varys,5
7,Sandor Clegane,5
7,Bran Stark,5
7,Bronn,5
7,Samwell Tarly,5
7,Gilly,5
7,Tormund Giantsbane,5
7,Gendry,5
7,Jorah Mormont,5
7,Archmaester Ebrose,5
7,Beric Dondarrion,5
7,Thoros of Myr,5
7,Qyburn,5
7,Randyll Tarly,5
7,Dickon Tarly,5
7,Robett Glover,5
7,Yohn Royce,5
7,Maester Wolkan,5
7,Goldcloak,5
7,Citadel Maester,5
7,Citadel Maester,5
7,Goldcloak,5
7,Qhono,5
7,Baby Sam,5
7,Baby Sam,5
7,Winterfell Spy,5
7,The Night King,5
7,Meereen Guard,5
7,Tyrion Lannister,6
7,Daenerys Targaryen,6
7,Jon Snow,6
7,Petyr Baelish,6
7,Davos Seaworth,6
7,Sansa Stark,6
7,Arya Stark,6
7,Brienne of Tarth,6
7,Sandor Clegane,6
7,Tormund Giantsbane,6
7,Gendry,6
7,Jorah Mormont,6
7,Beric Dondarrion,6
7,Thoros of Myr,6
7,Benjen Stark,6
7,Maester Wolkan,6
7,Captured Wight,6
7,Wildling,6
7,The Night King,6
7,Meereen Guard,6
7,Tyrion Lannister,7
7,Jaime Lannister,7
7,Cersei Lannister,7
7,Daenerys Targaryen,7
7,Jon Snow,7
7,Petyr Baelish,7
7,Davos Seaworth,7
7,Sansa Stark,7
7,Arya Stark,7
7,Missandei,7
7,Theon Greyjoy,7
7,Samwell Tarly,7
7,Bran Stark,7
7,Lord Varys,7
7,Bronn,7
7,Brienne of Tarth,7
7,Sandor Clegane,7
7,Tormund Giantsbane,7
7,Gilly,7
7,Jorah Mormont,7
7,Euron Greyjoy,7
7,Beric Dondarrion,7
7,Grey Worm,7
7,Qyburn,7
7,Podrick Payne,7
7,Gregor Clegane,7
7,Yohn Royce,7
7,Lyanna Stark,7
7,Harrag,7
7,Young Ned,7
7,Maester Wolkan,7
7,Rhaegar Targaryen,7
7,High Septon Maynard,7
7,Qhono,7
7,Lannister General,7
7,Lannister Guard,7
7,Baby Sam,7
7,Baby Sam,7
7,Captured Wight,7
7,The Night King,7
7,Meereen Guard,7
